["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["traiteur","The keeper of an eating house, or restaurant; a restaurateur. Simmonds."]
["orotundity","The orotund mode of intonation."]
["fidia","A genus of small beetles, of which one species (the grapevine Fidia, F. longipes) is very injurious to vines in America."]
["lancasterian","Of or pertaining to the monitorial system of instruction followed by Joseph Lancaster, of England, in which advanced pupils in a school teach pupils below them."]
["distraughted","Distracted. [Obs.] Spenser."]
["lupinine","An alkaloid found in several species of lupine (Lupinus luteus, L. albus, etc.), and extracted as a bitter crystalline substance."]
["dhole","A fierce, wild dog (Canis Dukhunensis), found in the mountains of India. It is remarkable for its propensity to hunt the tiger and other wild animals in packs."]
["sorner","One who obtrudes himself on another for bed and board. [Scot.] De Quncey."]
["lymph","1. A spring of water; hence, water, or a pure, transparent liquid like water. A fountain bubbled up, whose lymph serene Nothing of earthly mixture might distain. Trench. 2. (Anat.)  An alkaline colorless fluid, contained in the lymphatic vessels, coagulable like blood, but free from red blood corpuscles. It is absorbed from the various tissues and organs of the body, and is finally discharged by the thoracic and right lymphatic ducts into the great veins near the heart. 3. (Med.)  A fibrinous material exuded from the blood vessels in inflammation. In the process of healing it is either absorbed, or is converted into connective tissue binding the inflamed surfaces together. Lymph corpuscles (Anat.), finely granular nucleated cells, identical with the colorless blood corpuscles, present in the lymph and chyle. -- Lymph duct (Anat.), a lymphatic. -- Lymph heart. See Note under Heart, n., 1."]
["carbostyril","A white crystalline substance, C9H6N.OH, of acid properties derived from one of the amido cinnamic acids."]
["esnecy","A prerogative given to the eldest coparcener to choose first after an inheritance is divide. Mozley & W."]
["flamineous","Pertaining to a flamen; flaminical."]
["preparer","One who, or that which, prepares, fits, or makes ready. Wood."]
["astringe","1. To bind fast; to constrict; to contract; to cause parts to draw together; to compress. Which contraction . . . astringeth the moistuBacon. 2. To bind by moral or legal obligation. Wolsey."]
["apodictical","Self-evident; intuitively true; evident beyond contradiction. Brougham. Sir Wm. Hamilton."]
["cannery","A place where the business of canning fruit, meat, etc., is carried on. [U. S.]"]
["raja","Same as Rajah."]
["thermochemical","Of or pertaining to thermochemistry; obtained by, or employed in, thermochemistry."]
["biskara button","Same as Aleppo boil."]
["sphenography","The art of writing in cuneiform characters, or of deciphering inscriptions made in such characters."]
["townless","Having no town. Howell."]
["reveler","One who revels. \"Moonshine revelers.\" Shak."]
["tyranness","A female tyrant. [Obs.] \"That proud tyranness.\" Spenser. Akenside."]
["impetrative","Of the nature of impetration; getting, or tending to get, by entreaty. [Obs.] Bp. Hall."]
["nitric","Of, pertaining to, or containing, nitrogen; specifically, designating any one of those compounds in which, as contrasted with nitrous compounds, the element has a higher valence; as, nitric oxide; nitric acid. Nitric acid, a colorless or yellowish liquid obtained by distilling a nitrate with sulphuric acid. It is powerfully corrosive, being a strong acid, and in decomposition a strong oxidizer. -- Nitric anhydride, a white crystalline oxide of nitrogen (N2O5), called nitric pentoxide, and regarded as the anhydride of nitric acid. -- Nitric oxide, a colorless poisous gas (NO) obtained by treating nitric acid with copper. On contact with the air or with oxygen, it becomes reddish brown from the formation of nitric dioxide or peroxide."]
["catheterism","The operation of introducing a catheter."]
["feague","To beat or whip; to drive. [Obs.] Otway."]
["haggardly","In a haggard manner. Dryden."]
["unbewitch","To free from a spell; to disenchant. [R.] South."]
["putanism","Habitual lewdness or prostitution of a woman; harlotry."]
["pintado","Any bird of the genus Numida. Several species are found in Africa. The common pintado, or Guinea fowl, the helmeted, and the crested pintados, are the best known. See Guinea fowl, under Guinea."]
["senegal","Gum senegal. See under Gum."]
["reimbody","To imbody again. Boyle."]
["attachment","1. The act attaching, or state of being attached; close adherence or affection; fidelity; regard; anas, an attachment to a friend, or to a party. 2. That by which one thing is attached to another; connection; as, to cut the attachments of a muscle. The human mind . . . has exhausted its forces in the endeavor to rend the supernatural from its attachment to this history. I. Taylor. 3. Something attached; some adjunct attached to an instrument, machine, or other object; as, a sewing machine attachment (i. e., a device attached to a sewing machine to enable it to do special work, as tucking, etc.). 4. (Giv. Law) (a) A seizure or taking into custody by virtue of a legal process. (b) The writ or percept commanding such seizure or taking. Note: The term is applied to a seizure or taking either of persons or property. In the serving of process in a civil suit, it is most generally applied to the taking of property, whether at common law, as a species of distress, to compel defendant's appearance, or under local statutes, to satisfy the judgment the plaintiff may recover in the action. The terms attachment and arrest are both applied to the taking or apprehension of a defendant to compel an appearance in a civil action. Attachments are issued at common law and in chancery, against persons for contempt of court. In England, attachment is employed in some cases where capias is with us, as against a witness who fails to appear on summons. In some of the New England States a writ of attachment is a species of mesne process upon which the property of a defendant may be seized at the commencement of a suit and before summons to him, and may be held to satisfy the judgment the plaintiff may recover. In other States this writ can issue only against absconding debtors and those who conceal themselves. See Foreign, Garnishment, Trustee process. Bouvier. Burrill. Blackstone. Syn. -- Attachment, Affection. The leading idea of affection is that of warmth and tenderness; the leading idea of attachment is that of being bound to some object by strong and lasting ties. There is more of sentiment (and sometimes of romance) in affection, and more of principle in preserving attachment. We speak of the ardor of the one, and the fidelity of the other. There is another distinction in the use and application of these words. The term attachment is applied to a wider range of objects than affection. A man may have a strong attachment to his country, to his profession, to his principles, and even to favorite places; in respect to none of these could we use the word affection."]
["oblongatal","Of or pertaining to the medulla oblongata; medullar."]
["capaciousness","The quality of being capacious, as of a vessel, a reservoir a bay, the mind, etc."]
["brogues","Breeches. [Obs.] Shenstone."]
["hay-cutter","A machine in which hay is chopped short, as fodder for cattle."]
["juggs","See Jougs. [Scot.]"]
["presupposition","1. The act of presupposing; an antecedent implication; presumption. 2. That which is presupposed; a previous supposition or surmise."]
["upsway","To sway or swing aloft; as, to upsway a club. [R.] Sir W. Scott."]
["saciety","Satiety. [Obs.] Bacon."]
["brucine","A poweful vegetable alkaloid, found, associated with strychnine, in the seeds of different species of Strychnos, especially in the Nux vomica. It is less powerful than strychnine. Called also brucia and brucina."]
["achieve","1. To carry on to a final close; to bring out into a perfected state; to accomplish; to perform; -- as, to achieve a feat, an exploit, an enterprise. Supposing faculties and powers to be the same, far more may be achieved in any line by the aid of a capital, invigorating motive than without it. I. Taylor. 2. To obtain, or gain, as the result of exertion; to succeed in gaining; to win. Some are born great, some achieve greatness. Shak. Thou hast achieved our liberty. Milton. Note: [[Obs]., with a material thing as the aim.] Show all the spoils by valiant kings achieved. Prior. He hath achieved a maid That paragons description. Shak. 3. To finish; to kill. [Obs.] Shak. Syn. -- To accomplish; effect; fulfill; complete; execute; perform; realize; obtain. See Accomplish."]
["poynado","A poniard. [Obs.] Lyly."]
["hermetically","1. In an hermetical manner; chemically. Boyle. 2. By fusion, so as to form an air-tight closure. Note: A vessel or tube is hermetically sealed when it is closed completely against the passage of air or other fluid by fusing the extremity; -- sometimes less properly applied to any air-tight closure."]
["nativeness","The quality or state of being native."]
["appendical","Of or like an appendix."]
["hearsecloth","A cloth for covering a coffin when on a bier; a pall. Bp. Sanderson."]
["flamelet","A small flame. The flamelets gleamed and flickered. Longfellow."]
["inconsequential","Not regularly following from the premises; hence, irrelevant; unimportant; of no consequence. Chesterfield. -- In*con`se*quen\"tial*ly, adv."]
["magistrate","A person clothed with power as a public civil officer; a public civil officer invested with the executive government, or some branch of it. \"All Christian rulers and magistrates.\" Book of Com. Prayer. Of magistrates some also are supreme, in whom the sovereign power of the state resides; others are subordinate. Blackstone."]
["pesade","The motion of a horse when, raising his fore quarters, he keeps his hind feet on the ground without advancing; rearing."]
["syndication","Act or process of syndicating or forming a syndicate."]
["yawl","A small ship's boat, usually rowed by four or six oars. [Written also yaul.]\n\nTo cry out like a dog or cat; to howl; to yell. Tennyson. There howling Scyllas yawling round about. Fairfax."]
["jacobite","1. (Eng. Hist.)  A partisan or adherent of James the Second, after his abdication, or of his descendants, an opposer of the revolution in 1688 in favor of William and Mary. Macaulay. 2. (Eccl.)  One of the sect of Syrian Monophysites. The sect is named after Jacob Baradæus, its leader in the sixth century.\n\nOf or pertaining to the Jacobites."]
["prospection","The act of looking forward, or of providing for future wants; foresight."]
["shakings","Deck sweepings, refuse of cordage, canvas, etc. Ham. Nav. Encyc."]
["docibleness","Aptness for being taught; teachableness; docility. To persons of docibility, the real character may be easily taught in a few days. Boyle. The docibleness of dogs in general. Walton."]
["laryngoscopic","Of or pertaining to the inspection of the larynx."]
["forfeit","1. Injury; wrong; mischief. [Obs. & R.] To seek arms upon people and country that never did us any forfeit. Ld. Berners. 2. A thing forfeit or forfeited; what is or may be taken from one in requital of a misdeed committed; that which is lost, or the right to which is alienated, by a crime, offense, neglect of duty, or breach of contract; hence, a fine; a mulct; a penalty; as, he who murders pays the forfeit of his life. Thy slanders I forgive; and therewithal Remit thy other forfeits. Shak. 3. Something deposited and redeemable by a sportive fine; -- whence the game of forfeits. Country dances and forfeits shortened the rest of the day. Goldsmith.\n\nLost or alienated for an offense or crime; liable to penal seizure. Thy wealth being forfeit to the state. Shak. To tread the forfeit paradise. Emerson.\n\nTo lose, or lose the right to, by some error, fault, offense, or crime; to render one's self by misdeed liable to be deprived of; to alienate the right to possess, by some neglect or crime; as, to forfeit an estate by treason; to forfeit reputation by a breach of promise; -- with to before the one acquiring what is forfeited. [They] had forfeited their property by their crimes. Burke. Undone and forfeited to cares forever! Shak.\n\n1. To be guilty of a misdeed; to be criminal; to transgress. [Obs.] 2. To fail to keep an obligation. [Obs.] I will have the heart of him if he forfeit. Shak.\n\nIn the condition of being forfeited; subject to alienation. Shak. Once more I will renew His lapsèd powers, though forfeite. Milton."]
["bitartrate","A salt of tartaric acid in which the base replaces but half the acid hydrogen; an acid tartrate, as cream of tartar."]
["reenthrone","To enthrone again; to replace on a throne."]
["photogeny","See Photography. [Obsoles.]"]
["humin","A bitter, brownish yellow, amorphous substance, extracted from vegetable mold, and also produced by the action of acids on certain sugars and carbohydrates; -- called also humic acid, ulmin, gein, ulmic or geic acid, etc."]
["inconstant","Not constant; not stable or uniform; subject to change of character, appearance, opinion, inclination, or purpose, etc.; not firm; unsteady; fickle; changeable; variable; -- said of persons or things; as, inconstant in love or friendship. \"The inconstant moon.\" Shak. While we, inquiring phantoms of a day, Inconstant as the shadows we survey! Boyse. Syn. -- Mutable; fickle; volatile; unsteady; unstable; changeable; variable; wavering; fluctuating."]
["souded","United; consolidated; made firm; strengthened. [Obs.] O martyr souded for virginity! Chaucer."]
["faineance","Do-nothingness; inactivity; indolence. The mask of sneering faineance was gone. C. Kingsley."]
["driftpin","A smooth drift. See Drift, n., 9."]
["simper","1. To smile in a silly, affected, or conceited manner. Behold yond simpering dame. Shak. With a made countenance about her mouth, between simpering and smiling. ir. P. Sidney. 2. To glimmer; to twinkle. [Obs.] Yet can I mark how stars above Simper and shine. Herbert.\n\nA constrained, self-conscious smile; an affected, silly smile; a smirk. The conscious simper, and the jealous leer. Pope."]
["purpose","1. That which a person sets before himself as an object to be reached or accomplished; the end or aim to which the view is directed in any plan, measure, or exertion; view; aim; design; intention; plan. He will his firste purpos modify. Chaucer. As my eternal purpose hath decreed. Milton. The flighty purpose never is o'ertook Unless the deed go with it. Shak. 2. Proposal to another; discourse. [Obs.] Spenser. 3. Instance; example. [Obs.] L'Estrange. In purpose, Of purpose, On purpose, with previous design; with the mind directed to that object; intentionally. On purpose is the form now generally used. Syn. -- design; end; intention; aim. See Design.\n\n1. To set forth; to bring forward. [Obs.] 2. To propose, as an aim, to one's self; to determine upon, as some end or object to be accomplished; to intend; to design; to resolve; - - often followed by an infinitive or dependent clause. Chaucer. Did nothing purpose against the state. Shak. I purpose to write the history of England from the accession of King James the Second down to a time which is within the memory of men still living. Macaulay.\n\nTo have a purpose or intention; to discourse. [Obs.] Spenser."]
["elatrometer","An instrument for measuring the degree of rarefaction of air contained in the receiver of an air pump. [Spelt also elaterometer.]"]
["self-slaughter","Suicide. Shak."]
["emboil","To boil with anger; to effervesce. [Obs.] Spenser.\n\nTo cause to boil with anger; to irritate; to chafe. [Obs.] Spenser."]
["overstay","To stay beyond the time or the limits of; as, to overstay the appointed time. Bp. Hall."]
["ectodermal","Of or relating to the ectoderm."]
["brushite","A white or gray crystalline mineral consisting of the acid phosphate of calcium."]
["gridelin","A color mixed of white, and red, or a gray violet. [Written also gredaline, grizelin.] Dryden."]
["reachable","Being within reach."]
["rancescent","Becoming rancid or sour."]
["triskelion","A figure composed of three branches, usually curved, radiating from a center, as the figure composed of three human legs, with bent knees, which has long been used as a badge or symbol of Sicily and of the Isle of Man."]
["water beech","The American hornbeam. See Hornbeam."]
["aspish","Pertaining to, or like, an asp."]
["assentatory","Flattering; obsequious. [Obs.] -- As*sent\"a*to*ri*ly, adv. [Obs.]"]
["alternateness","The quality of being alternate, or of following by turns."]
["dear-bought","Bought at a high price; as, dear-bought experience."]
["oxymoron","A figure in which an epithet of a contrary signification is added to a word; e. g., cruel kindness; laborious idleness."]
["aground","On the ground; stranded; -- a nautical term applied to a ship when its bottom lodges on the ground. Totten."]
["colorate","Colored. [Obs.] Ray."]
["bushiness","The condition or quality of being bushy."]
["stereotypy","The art or process of making stereotype plates."]
["inclasp","To clasp within; to hold fast to; to embrace or encircle. [Written also enclasp.] The flattering ivy who did ever see Inclasp the huge trunk of an aged tree. F. Beaumont."]
["feebly","In a feeble manner. The restored church . . . contended feebly, and with half a heart. Macaulay."]
["radio-flagellata","A group of Protozoa having both flagella and pseudopodia."]
["wedding","Nuptial ceremony; nuptial festivities; marriage; nuptials. Simple and brief was the wedding, as that of Ruth and of Boaz. Longfellow. Note: Certain anniversaries of an unbroken marriage have received fanciful, and more or less appropriate, names. Thus, the fifth anniversary is called the wooden wedding; the tenth, the tin wedding; the fifteenth, the crystal wedding; the twentieth, the china wedding; the twenty-fifth, the silver wedding; the fiftieth, the golden wedding; the sixtieth, the diamond wedding. These anniversaries are often celebrated by appropriate presents of wood, tin, china, silver, gold, etc., given by friends. Note: Wedding is often used adjectively; as, wedding cake, wedding cards, wedding clothes, wedding day, wedding feast, wedding guest, wedding ring, etc. Let her beauty be her wedding dower. Shak. Wedding favor, a marriage favor. See under Marriage."]
["gradus","A dictionary of prosody, designed as an aid in writing Greek or Latin poetry. He set to work . . . without gradus or other help. T. Hughes."]
["abettal","Abetment. [R.]"]
["typhus","A contagious continued fever lasting from two to three weeks, attended with great prostration and cerebral disorder, and marked by a copious eruption of red spots upon the body. Also called jail fever, famine fever, putrid fever, spottled fever, etc. See Jail fever, under Jail."]
["priggery","Priggism."]
["vitrine","A glass show case for displaying fine wares, specimens, etc."]
["recto","A writ of right.\n\nThe right-hand page; -- opposed to verso."]
["winter-ground","To coved over in the season of winter, as for protection or shelter; as, to winter-ground the roods of a plant. The ruddock would . . . bring thee all this, Yea, and furred moss besides, when flowers are none To winter-ground thy corse. Shak."]
["circummure","To encompass with a wall. Shak."]
["discommon","1. To deprive of the right of common. [R.] Bp. Hall. 2. To deprive of privileges. [R.] T. Warton. 3. (Law)  To deprive of commonable quality, as lands, by inclosing or appropriating. Burrill."]
["priesthood","1. The office or character of a priest; the priestly function. Bk. of Com. Prayer. 2. Priests, taken collectively; the order of men set apart for sacred offices; the order of priests."]
["teens","The years of one's age having the termination -teen, beginning with thirteen and ending with nineteen; as, a girl in her teens."]
["boyish","Resembling a boy in a manners or opinions; belonging to a boy; childish; trifling; puerile. A boyish, odd conceit. Baillie."]
["unauthorize","To disown the authority of; to repudiate."]
["calculative","Of or pertaining to calculation; involving calculation. Long habits of calculative dealings. Burke."]
["topaz","1. (Min.)  A mineral occurring in rhombic prisms, generally yellowish and pellucid, also colorless, and of greenesh, bluish, or brownish shades. It sometimes occurs massive and opaque. It is a fluosilicate of alumina, and is used as a gem. 2. (Zoöl.)  Either one of two species of large, brilliantly colored humming birds of the Topaza, of South America and the West Indies. Note: The two tail feathers next to the central ones are much longer that the rest, curved, and crossed. The Throat is metallic yellowish- green, with a tint like topaz in the center, the belly is bright crimson, the back bright red. Called also topaz hummer. False topaz. (Min.) See the Note under Quartz."]
["commixture","1. The act or process of mixing; the state of being mingled; the blending of ingredients in one mass or compound. In the commixture of anything that is more oily or sweet, such bodies are least apt to putrefy. Bacon. 2. The mass formed by mingling different things; a compound; a mixture. Bacon."]
["trilith","Same as Trilithon. Mollett."]
["laccolith","A mass of igneous rock intruded between sedimentary beds and resulting in a mammiform bulging of the overlying strata. -- Lac`co*lit\"ic, a."]
["craig flounder","The pole flounder."]
["bdellium","1. An unidentified substance mentioned in the Bible (Gen. ii. 12, and Num. xi. 7), variously taken to be a gum, a precious stone, or pearls, or perhaps a kind of amber found in Arabia. 2. A gum resin of reddish brown color, brought from India, Persia, and Africa. Note: Indian bdellium or false myrrh is an exudation from Balsamodendron Roxb. Other kinds are known as African, Sicilian, etc."]
["double-decker","1. (Naut.)  A man-of-war having two gun decks. 2. A public conveyance, as a street car, with seats on the roof. [Colloq.]"]
["landgrave","A German nobleman of a rank corresponding to that of an earl in England and of a count in France. Note: The title was first adopted by some German counts in the twelfth century, to distinguish themselves from the inferior counts under their jurisdiction. Three of them were princes of the empire."]
["-less","A privative adjective suffix, denoting without, destitute of, not having; as witless, childless, fatherless."]
["misexpression","Wrong expression."]
["cinchonidine","One of the quinine group of alkaloids, found especially in red cinchona bark. It is a white crystalline substance, C19H22N2O, with a bitter taste and qualities similar to, but weaker than, quinine; -- sometimes called also cinchonidia."]
["classic","1. Of or relating to the first class or rank, especially in literature or art. Give, as thy last memorial to the age, One classic drama, and reform the stage. Byron. Mr. Greaves may justly be reckoned a classical author on this subject [Roman weights and coins]. Arbuthnot. 2. Of or pertaining to the ancient Greeks and Romans, esp. to Greek or Roman authors of the highest rank, or of the period when their best literature was produced; of or pertaining to places inhabited by the ancient Greeks and Romans, or rendered famous by their deeds. Though throned midst Latium's classic plains. Mrs. Hemans. The epithet classical, as applied to ancient authors, is determined less by the purity of their style than by the period at which they wrote. Brande & C. He [Atterbury] directed the classical studies of the undergraduates of his college. Macaulay. 3. Conforming to the best authority in literature and art; chaste; pure; refined; as, a classical style. Classical, provincial, and national synods. Macaulay. Classicals orders. (Arch.) See under Order.\n\n1. A work of acknowledged excellence and authrity, or its author; -- originally used of Greek and Latin works or authors, but now applied to authors and works of a like character in any language. In is once raised him to the rank of a legitimate English classic. Macaulay. 2. One learned in the literature of Greece and Rome, or a student of classical literature."]
["conventioner","One who belongs to a convention or assembly."]
["suppose","1. To represent to one's self, or state to another, not as true or real, but as if so, and with a view to some consequence or application which the reality would involve or admit of; to imagine or admit to exist, for the sake of argument or illustration; to assume to be true; as, let us suppose the earth to be the center of the system, what would be the result Suppose they take offence without a cause. Shak. When we have as great assurance that a thing is, as we could possibly, supposing it were, we ought not to make any doubt of its existence. Tillotson. 2. To imagine; to believe; to receive as true. How easy is a bush supposed a bear! Shak. Let not my lord suppose that they have slain all the young men, the king's sons; for Amnon only is dead. 2 Sam. xiii. 32. 3. To require to exist or to be true; to imply by the laws of thought or of nature; as, purpose supposes foresight. One falsehood always supposes another, and renders all you can say suspected. Female Quixote. 4. To put by fraud in the place of another. [Obs.] Syn. -- To imagine; believe; conclude; judge; consider; view; regard; conjecture; assume.\n\nTo make supposition; to think; to be of opinion. Acts ii. 15.\n\nSupposition. [Obs.] Shak. \"A base suppose that he is honest.\" Dryden."]
["ascitic","Of, pertaining to, or affected by, ascites; dropsical."]
["bimetallist","An advocate of bimetallism."]
["delivery","1. The act of delivering from restraint; rescue; release; liberation; as, the delivery of a captive from his dungeon. 2. The act of delivering up or over; surrender; transfer of the body or substance of a thing; distribution; as, the delivery of a fort, of hostages, of a criminal, of goods, of letters. 3. The act or style of utterance; manner of speaking; as, a good delivery; a clear delivery. 4. The act of giving birth; parturition; the expulsion or extraction of a fetus and its membranes. 5. The act of exerting one's strength or limbs. Neater limbs and freer delivery. Sir H. Wotton. 6. The act or manner of delivering a ball; as, the pitcher has a swift delivery."]
["augurer","An augur. [Obs.] Shak."]
["philotechnic","Fond of the arts. [R.]"]
["magnetizable","Capable of magnetized."]
["vandyke","Of or pertaining to the style of Vandyke the painter; used or represented by Vandyke. \"His Vandyke dress.\" Macaulay. [Written also Vandyck.] Vandyke brown (Paint.), a pigment of a deep semitranssparent brown color, supposed to be the color used by Vandyke in his pictures. -- Vandyke collar or cape, a broad collar or cape of linen and lace with a deep pointed or scalloped edge, worn lying on the shoulders; - - so called from its appearance in pictures by Vandyke. -- Vandyke edge, an edge having ornamental triangular points.\n\nA picture by Vandyke. Also, a Vandyke collar, or a Vandyke edge. [Written also Vandyck.]\n\nfit or furnish with a Vandyke; to form with points or scallops like a Vandyke. [R.] [Written also Vandyck.]"]
["diesel motor","A type of internal-combustion engine in which the air drawn in by the suction stroke is so highly compressed that the heat generated ignites the fuel (usually crude oil), the fuel being automatically sprayed into the cylinder under pressure. The Diesel engine has a very high thermal efficiency."]
["cesspipe","A pipe for carrying off waste water, etc., from a sink or cesspool. Knight."]
["polygalaceous","Of or pertaining to a natural order of plants (Polygalaceæ) of which Polygala is the type."]
["parle","To talk; to converse; to parley. [Obs.] Shak. Finding himself too weak, began to parle. Milton.\n\nConversation; talk; parley. [Obs.] They ended parle, and both addressed for fight. Milton."]
["lily-handed","Having white, delicate hands."]
["backsheesh","In Egypt and the Turkish empire, a gratuity; a \"tip\"."]
["anoil","The anoint with oil. [Obs.] Holinshed."]
["housewarming","A feast or merry-making made by or for a family or business firm on taking possession of a new house or premises. Johnson."]
["cobaltiferous","Containing cobalt."]
["indagator","A searcher; an explorer; an investigator. [Obs.] Searched into by such skillful indagators of nature. Boyle."]
["affiant","One who makes an affidavit. [U. S.] Burrill. Syn. -- Deponent. See Deponent."]
["muharram","1. The first month of the Mohammedan year. Whitworth. 2. A festival of the Shiah sect of the Mohammedans held during the first ten days of the month Mohurrum."]
["placitum","1. A public court or assembly in the Middle Ages, over which the sovereign president when a consultation was held upon affairs of state. Brande & C. 2. (Old Eng. Law)  A court, or cause in court. 3. (Law)  A plea; a pleading; a judicial proceeding; a suit. Burrill."]
["superfluitant","Floating above or on the surface. [Obs.] Sir T. Browne. -- Su`per*flu\"i*tance, n. [Obs.]"]
["talbotype","Same as Calotype."]
["blue-bonnet","1. A broad, flat Scottish cap of blue woolen, or one waring such cap; a Scotchman. 2. (Bot.)  A plant. Same as Bluebottle. 3. (Zoöl.)  The European blue titmouse (Parus coeruleus); the bluecap."]
["weathermost","Being farthest to the windward."]
["newish","Somewhat new; nearly new. Bacon."]
["interluded","Inserted in the manner of an interlude; having or containing interludes."]
["cantonize","To divide into cantons or small districts."]
["lifelike","Like a living being; resembling life; giving an accurate representation; as, a lifelike portrait. -- Life\"like`ness, n. Poe."]
["consistence","1. The condition of standing or adhering together, or being fixed in union, as the parts of a body; existence; firmness; coherence; solidity. Water, being divided, maketh many circles, till it restore itself to the natural consistence. Bacon. We are as water, weak, and of no consistence. Jer. Taylor. The same form, substance, and consistency. T. Burned. 2. A degree of firmness, density, or spissitude. Let the expressed juices be boiled into the consistence of a sirup. Arbuthnot. 3. That which stands together as a united whole; a combination. The church of God, as meaning whole consistence of orders and members. Milton. 4. Firmness of constitution or character; substantiality; durability; persistency. His friendship is of a noble make and a lasting consistency. South. 5. Agreement or harmony of all parts of a complex thing among themselves, or of the same thing with itself at different times; the harmony of conduct with profession; congruity; correspondence; as, the consistency of laws, regulations, or judicial decisions; consistency of opinions; consistency of conduct or of character. That consistency of behavior whereby he inflexibly pursues those measures which appear the most just. Addison. Consistency, thou art a jewel. Popular Saying."]
["yug","Any one of the four ages, Krita, or Satya, Treta, Dwapara, and Kali, into which the Hindoos divide the duration or existence of the world."]
["dispenser","One who, or that which, dispenses; a distributer; as, a dispenser of favors."]
["soporiferous","Causing sleep; somniferous; soporific. \"Soporiferous medicine.\" Swift. --- Sop`o*rif\"er*ous*ly, adv. -- Sop`o*rif\"er*ous*ness, n."]
["spilt","imp. & p. p. of Spill. Spilled."]
["knickknack","A trifle or toy; a bawble; a gewgaw."]
["organogenic","Of or pertaining to organogenesis."]
["anhelous","Short of breath; panting."]
["bombolo","A thin spheroidal glass retort or flask, used in the sublimation of camphor. [Written also bumbelo, and bumbolo.]"]
["hydroxanthic","Persulphocyanic."]
["muntin","Same as Mullion; -- especially used in joiner's work."]
["lamel","See Lamella."]
["longicorn","Long-horned; pertaining to the Longicornia. -- n.  One of the Longicornia."]
["mysticete","Any right whale, or whalebone whale. See Cetacea."]
["miniature","1. Originally, a painting in colors such as those in mediæval manuscripts; in modern times, any very small painting, especially a portrait. 2. Greatly diminished size or form; reduced scale. 3. Lettering in red; rubric distinction. [Obs.] 4. A particular feature or trait. [Obs.] Massinger.\n\nBeing on a small; much reduced from the reality; as, a miniature copy.\n\nTo represent or depict in a small compass, or on a small scale."]
["cobwebbed","Abounding in cobwebs. \"The cobwebbed cottage.\" Young."]
["hemuse","The roebuck in its third year. [Prov. Eng.]"]
["racahout","A preparation from acorns used by the Arabs as a substitute for chocolate, and also as a beverage for invalids."]
["aged","1. Old; having lived long; having lived almost to or beyond the usual time allotted to that species of being; as, an aged man; an aged oak. 2. Belonging to old age. \"Aged cramps.\" Shak. 3. Having a certain age; at the age of; having lived; as, a man aged forty years."]
["longilateral","Having long sides especially, having the form of a long parallelogram. Nineveh . . . was of a longilateral figure, ninety-five furlongs broad, and a hundred and fifty long. Sir T. Browne."]
["reproduce","To produce again. Especially: (a) To bring forward again; as, to reproduce a witness; to reproduce charges; to reproduce a play. (b) To cause to exist again. Those colors are unchangeable, and whenever all those rays with those their colors are mixed again they reproduce the same white light as before. Sir I. Newton. (c) To produce again, by generation or the like; to cause the existence of (something of the same class, kind, or nature as another thing); to generate or beget, as offspring; as, to reproduce a rose; some animals are reproduced by gemmation. (d) To make an image or other representation of; to portray; to cause to exist in the memory or imagination; to make a copy of; as, to reproduce a person's features in marble, or on canvas; to reproduce a design."]
["tarras","See Trass. [Obs.]"]
["drawboy","A boy who operates the harness cords of a hand loom; also, a part of power loom that performs the same office."]
["gong","A privy or jakes. [Obs.] Chaucer. Gong farmer, Gong man, a cleaner of privies. [Obs.]\n\n1. Etym: [Malayan (Jav.) gong.]  An instrument, first used in the East, made of an alloy of copper and tin, shaped like a disk with upturned rim, and producing, when struck, a harsh and resounding noise. O'er distant deserts sounds the Tartar gong. Longfellow. 2. (Mach.)  A flat saucerlike bell, rung by striking it with a small hammer which is connected with it by various mechanical devices; a stationary bell, used to sound calls or alarms; -- called also gong bell. Gong metal, an alloy (78 parts of copper, 22 of tin), from which Oriental gongs are made."]
["sea parrot","The puffin."]
["henpeck","To subject to petty authority; -- said of a wife who thus treats her husband. Commonly used in the past participle (often adjectively)."]
["whig","Acidulated whey, sometimes mixed with buttermilk and sweet herbs, used as a cooling beverage. [Obs. or Prov. Eng.]\n\n1. (Eng. Politics)  One of a political party which grew up in England in the seventeenth century, in the reigns of Charles I. and II., when great contests existed respecting the royal prerogatives and the rights of the people. Those who supported the king in his high claims were called Tories, and the advocates of popular rights, of parliamentary power over the crown, and of toleration to Dissenters, were, after 1679, called Whigs. The terms Liberal and Radical have now generally superseded Whig in English politics. See the note under Tory. 2. (Amer. Hist.) (a) A friend and supporter of the American Revolution; -- opposed to Tory, and Royalist. (b) One of the political party in the United States from about 1829 to 1856, opposed in politics to the Democratic party.\n\nOf or pertaining to the Whigs."]
["dwine","To waste away; to pine; to languish. [Obs. or Prov. Eng.] Gower."]
["siphilis","Syphilis."]
["icosahedron","A solid bounded by twenty sides or faces. Regular icosahedron, one of the five regular polyhedrons, bounded by twenty equilateral triangules. Five triangules meet to form each solid angle of the polyhedron."]
["equivocally","In an equivocal manner."]
["eurythmy","1. (Fine Arts)  Just or harmonious proportion or movement, as in the composition of a poem, an edifice, a painting, or a statue. 2. (Med.)  Regularly of the pulse."]
["marcato","In a marked emphatic manner; -- used adverbially as a direction."]
["tinkerly","After the manner of a tinker. [R.]"]
